Trip Year,Trip Month,End Station,End Lat,End Lon,Date,Start Station,Start Lat,Start Lon,Type
2022,June,30 St & 4 Ave,40.657743,-74.001141,484,484,484,484,484
2022,June,31 Ave & 14 St,40.7682,-73.9322662,746,746,746,746,746
2022,June,31 Ave & 30 St,40.7647,-73.9240312,1130,1130,1130,1130,1130
2022,June,31 Ave & 30 St,40.7647,-73.924031,13,13,13,13,13
2022,June,31 Ave & 34 St,40.763154,-73.920827,1676,1676,1676,1676,1676
2022,June,31 Ave & 57 St,40.757357,-73.904726,316,316,316,316,316
2022,June,31 Ave & 61 St,40.757525,-73.901614,288,288,288,288,288
2022,June,31 Ave & Crescent St,40.7658346,-73.9265474,1423,1423,1423,1423,1423
2022,June,31 Ave & Crescent St,40.765835,-73.926547,1,1,1,1,1
2022,June,31 Ave & Steinway St,40.7611488,-73.9170071,1353,1353,1353,1353,1353
2022,June,31 Ave & Steinway St,40.761149,-73.917007,10,10,10,10,10
2022,June,31 Pl & Hunters Point Ave,40.74021356884924,-73.93537044525146,24,24,24,24,24
2022,June,31 Rd & 21 St,40.766824,-73.930486,446,446,446,446,446
2022,June,31 St & 21 Ave,40.77813,-73.90842,642,642,642,642,642
2022,June,31 St & 23 Ave,40.7747878,-73.9125551,2128,2128,2128,2128,2128
2022,June,31 St & 23 Ave,40.774788,-73.912555,9,9,9,9,9
2022,June,31 St & Astoria Blvd,40.7699176,-73.9184057,979,979,979,979,979
2022,June,31 St & Astoria Blvd,40.769918,-73.918406,5,5,5,5,5
2022,June,31 St & Broadway,40.761584,-73.925921,2182,2182,2182,2182,2182
2022,June,31 St & Ditmars Blvd,40.776168,-73.910485,1192,1192,1192,1192,1192
2022,June,31 St & Hoyt Ave N,40.7711528,-73.9170074,1031,1031,1031,1031,1031
2022,June,31 St & Hoyt Ave N,40.771153,-73.917007,3,3,3,3,3
2022,June,31 St & Newtown Ave,40.7675487799971,-73.9209334552288,2236,2236,2236,2236,2236
2022,June,31 St & Newtown Ave,40.767549,-73.920933,3,3,3,3,3
2022,June,31 St & Northern Blvd,40.75186951421875,-73.93349289894103,931,931,931,931,931
2022,June,31 St & Northern Blvd,40.75187,-73.933493,6,6,6,6,6
2022,June,31 St & Thomson Ave,40.744697,-73.935404,3,3,3,3,3
2022,June,31 St & Thomson Ave,40.74469738,-73.93540375,796,796,796,796,796
2022,June,33 St & 47 Ave,40.74283,-73.9321,112,112,112,112,112
2022,June,34 Ave & 13 St,40.763875,-73.936485,1,1,1,1,1
2022,June,34 Ave & 13 St,40.7638753,-73.9364848,391,391,391,391,391
2022,June,34 Ave & 21 St,40.7628138,-73.9342862,566,566,566,566,566
2022,June,34 Ave & 21 St,40.762814,-73.934286,1,1,1,1,1
2022,June,34 Ave & 31 St,40.759604,-73.927144,12,12,12,12,12
2022,June,34 Ave & 31 St,40.759604471387945,-73.92714411020279,726,726,726,726,726
2022,June,34 Ave & 38 St,40.756913,-73.921631,1368,1368,1368,1368,1368
2022,June,34 Ave & 45 St,40.754795,-73.917014,382,382,382,382,382
2022,June,34 Ave & 48 St,40.75388,-73.914952,559,559,559,559,559
2022,June,34 St & 35 Ave,40.756933,-73.926223,6,6,6,6,6
2022,June,34 St & 35 Ave,40.7569332,-73.9262231,968,968,968,968,968
2022,June,34 St & 38 Ave,40.752443,-73.929737,545,545,545,545,545
2022,June,34 St & 4 Ave,40.655278,-74.003101,387,387,387,387,387
2022,June,34 St & 48 Ave,40.740821207823245,-73.93147185444832,2,2,2,2,2
2022,June,34 St & 5 Ave,40.654098,-74.001131,211,211,211,211,211
2022,June,34th Ave & Vernon Blvd,40.76535380385866,-73.93986314535141,1027,1027,1027,1027,1027
2022,June,34th Ave & Vernon Blvd,40.765354,-73.939863,3,3,3,3,3
2022,June,35 Ave & 10 St,40.76315481910373,-73.93985509872437,791,791,791,791,791
2022,June,35 Ave & 10 St,40.763155,-73.939855,1,1,1,1,1
2022,June,35 Ave & 37 St,40.7557327,-73.9236611,972,972,972,972,972
2022,June,35 St & 21 Ave,40.776745,-73.906558,383,383,383,383,383
2022,June,35 St & 23 Ave,40.773015,-73.91119,1,1,1,1,1
2022,June,35 St & 23 Ave,40.77301508291382,-73.91119033098221,594,594,594,594,594
2022,June,35 St & 30 Ave,40.76547569244953,-73.91811579465866,1265,1265,1265,1265,1265
2022,June,35 St & 30 Ave,40.765476,-73.918116,5,5,5,5,5
2022,June,35 St & 34 Ave,40.758058,-73.924275,1,1,1,1,1
2022,June,35 St & 34 Ave,40.7580583,-73.9242751,676,676,676,676,676
2022,June,35 St & Broadway,40.760339,-73.922243,4,4,4,4,4
2022,June,35 St & Broadway,40.760339,-73.9222427,1213,1213,1213,1213,1213
2022,June,36 Ave & 10 St,40.7614376,-73.9411265,987,987,987,987,987
2022,June,36 Ave & 10 St,40.761438,-73.941127,3,3,3,3,3
2022,June,36 Ave & 31 St,40.75651272984955,-73.92957486212252,1368,1368,1368,1368,1368
2022,June,36 Ave & 31 St,40.756513,-73.929575,15,15,15,15,15
2022,June,36 St & 3 Ave,40.655716,-74.006664,781,781,781,781,781
2022,June,36 St & 4 Ave,40.654144,-74.00422,890,890,890,890,890
2022,June,36 St & 47 Ave,40.74221834996096,-73.92935156822205,3,3,3,3,3
2022,June,36 St & Ditmars Blvd,40.774306,-73.908335,792,792,792,792,792
2022,June,36 St & Hunters Point Ave,40.73781699881193,-73.93024072051048,13,13,13,13,13
2022,June,36 St & Queens Blvd,40.74408,-73.92901,28,28,28,28,28
2022,June,37 Ave & 35 St,40.7531106,-73.9279917,491,491,491,491,491
2022,June,37 Ave & 35 St,40.753111,-73.927992,6,6,6,6,6
2022,June,37 St & 24 Ave,40.7701477,-73.9120938,474,474,474,474,474
2022,June,37 St & 24 Ave,40.770148,-73.912094,4,4,4,4,4
2022,June,38 Ave & 29 St,40.75473,-73.93367,783,783,783,783,783
2022,June,38 St & 30 Ave,40.764174520197685,-73.91583994030952,1581,1581,1581,1581,1581
2022,June,38 St & 30 Ave,40.764175,-73.91584,11,11,11,11,11
2022,June,38 St & Northern Blvd,40.752372,-73.925384,405,405,405,405,405
2022,June,39 St & 2 Ave,40.65539977447831,-74.01062786579132,237,237,237,237,237
2022,June,39 St & 2 Ave,40.6554,-74.010628,3,3,3,3,3
2022,June,4 Ave & 17 St,40.665507,-73.993037,670,670,670,670,670
2022,June,4 Ave & 26 St,40.660079,-73.998633,522,522,522,522,522
2022,June,4 Ave & 3 St,40.673746,-73.985649,1387,1387,1387,1387,1387
2022,June,4 Ave & 9 St,40.6705135,-73.98876585,2013,2013,2013,2013,2013
2022,June,4 Ave & 9 St,40.670514,-73.988766,2,2,2,2,2
2022,June,4 Ave & E 12 St,40.732647,-73.99011,5636,5636,5636,5636,5636
2022,June,4 Ave & Shore Road Dr,40.637033,-74.022141,413,413,413,413,413
2022,June,4 St & Grand St,40.7422579775645,-74.03511106967926,2,2,2,2,2
2022,June,40 Ave & 9 St,40.75742,-73.945133,574,574,574,574,574
2022,June,40 Ave & Crescent St,40.753599,-73.937956,3,3,3,3,3
2022,June,40 Ave & Crescent St,40.7535992020056,-73.93795609474182,821,821,821,821,821
2022,June,41 St & 3 Ave,40.652512,-74.008906,51,51,51,51,51
2022,June,41 St & 4 Ave,40.651354,-74.007168,416,416,416,416,416
2022,June,42 St & 1 Ave,40.654798,-74.014372,214,214,214,214,214
2022,June,43 St & 23 Ave,40.769673,-73.906018,204,204,204,204,204
2022,June,43 St & 35 Ave,40.754139,-73.919543,506,506,506,506,506
2022,June,43 St & 37 Ave,40.750181,-73.919998,898,898,898,898,898
2022,June,43 St & Broadway,40.757728,-73.916637,2,2,2,2,2
2022,June,43 St & Broadway,40.7577284,-73.9166368,701,701,701,701,701
2022,June,44 Dr & Jackson Ave,40.747182,-73.943264,17,17,17,17,17
2022,June,44 Dr & Jackson Ave,40.74718234,-73.9432635,2888,2888,2888,2888,2888
2022,June,44 St & 2 Ave,40.652502,-74.013587,136,136,136,136,136
2022,June,44 St & 3 Ave,40.651173,-74.011405,140,140,140,140,140
2022,June,44 St & 6 Ave,40.647105,-74.004483,309,309,309,309,309
2022,June,45 Ave & 21 St,40.74737075646803,-73.94777297973631,1996,1996,1996,1996,1996
2022,June,45 Ave & 21 St,40.747371,-73.947773,4,4,4,4,4
2022,June,45 Rd & 11 St,40.74708586,-73.94977234,1409,1409,1409,1409,1409
2022,June,45 Rd & 11 St,40.747086,-73.949772,8,8,8,8,8
2022,June,45 St & 4 Ave,40.649145,-74.009486,544,544,544,544,544
2022,June,46 Ave & 5 St,40.74731,-73.95451,3442,3442,3442,3442,3442
2022,June,46 St & 25 Ave,40.765753,-73.90676,320,320,320,320,320
2022,June,46 St & 28 Ave,40.763328,-73.908782,364,364,364,364,364
2022,June,46 St & 30 Rd,40.76072,-73.910989,369,369,369,369,369
2022,June,46 St & 6 Ave,40.645921,-74.005708,211,211,211,211,211
2022,June,46 St & 7 Ave,40.644743,-74.003754,293,293,293,293,293
2022,June,47 Ave & 31 St,40.743,-73.93561,666,666,666,666,666
2022,June,47 Ave & Skillman Ave,40.743752,-73.941765,3,3,3,3,3
2022,June,47 Ave & Skillman Ave,40.7437524099784,-73.94176483154297,251,251,251,251,251
2022,June,47 St & 3 Ave,40.649143,-74.012384,99,99,99,99,99
2022,June,48 Ave & 31 St,40.74133,-73.93616,640,640,640,640,640
2022,June,48 Ave & 37 St,40.74034668087185,-73.92886072397232,2,2,2,2,2
2022,June,48 Ave & 5 St,40.744363,-73.955873,12,12,12,12,12
2022,June,48 Ave & 5 St,40.74436328706688,-73.9558732509613,1024,1024,1024,1024,1024
2022,June,48 St & 2 Ave,40.650176,-74.015606,102,102,102,102,102
2022,June,48 St & 37 Ave,40.751555,-73.915026,843,843,843,843,843
2022,June,48 St & 5 Ave,40.646351,-74.009271,309,309,309,309,309
2022,June,48 St & Broadway,40.755763,-73.912715,800,800,800,800,800
2022,June,49 Ave & 21 St,40.74252,-73.948852,939,939,939,939,939
2022,June,49 St & 25 Ave,40.764496,-73.904632,146,146,146,146,146
2022,June,49 St & 31 Ave,40.758057,-73.909831,409,409,409,409,409
2022,June,5 Av & W 139 St,40.815484,-73.935856,863,863,863,863,863
2022,June,5 Ave & 3 St,40.6728155,-73.98352355,2889,2889,2889,2889,2889
2022,June,5 Ave & 3 St,40.672816,-73.983524,14,14,14,14,14
2022,June,5 Ave & 37 St,40.652657,-74.002356,369,369,369,369,369
2022,June,5 Ave & 41 St,40.649983,-74.005144,823,823,823,823,823
2022,June,5 Ave & 66 St,40.635679,-74.020005,314,314,314,314,314
2022,June,5 Ave & E 103 St,40.792255,-73.952499,111,111,111,111,111
2022,June,5 Ave & E 103 St,40.7922553,-73.95249933,3774,3774,3774,3774,3774
2022,June,5 Ave & E 135 St,40.812191,-73.937838,652,652,652,652,652
